markers,gate
PDL1,8.601493593
CD3,7.800113755
p53,8.397750665
LaminB1,8.415982253
ER,9.196354393
HER2,7.162412901
PR,9.615719908
panCK,8.082632857
AR,7.462216953
CD163,8.038008096
aSMA,6.763345604
CD45,7.195098512
CD8a,8.493286672
Ki67,6.6088585
PD1,7.638479565
CD4,8.069455895
CD68,8.383156372
HLAA,8.375033493
