markers,gate
PDL1,8.643771879
CD3,7.344282687
p53,8.028057426
LaminB1,8.35572245
ER,7.245000508
HER2,6.226536669
PR,8.559488789
panCK,6.809496001
AR,8.403113266
CD163,8.094224473
aSMA,6.746412129
CD45,7.58447567
CD8a,8.224640946
Ki67,7.041064422
PD1,7.492959421
CD4,8.345488397
CD68,7.308302543
HLAA,8.669118124
