markers,gate
PDL1,8.248371636
CD3,7.248087088
p53,8.583356462
LaminB1,8.316764104
ER,7.8622151
HER2,6.803505258
PR,7.919719761
panCK,7.26628632
AR,7.043229783
CD163,7.513809444
aSMA,7.601402335
CD45,7.031064176
CD8a,7.630752653
Ki67,6.522471331
PD1,8.147306393
CD4,7.546202593
CD68,6.517126682
HLAA,6.56948142
