markers,gate
PDL1,8.224695061
CD3,7.171562371
p53,8.527013311
LaminB1,8.093004436
ER,8.329456649
HER2,7.221412209
PR,8.484310372
panCK,7.53216405
AR,7.225101184
CD163,7.691952081
aSMA,6.663683244
CD45,7.594920001
CD8a,8.016446311
Ki67,6.423595439
PD1,7.606112638
CD4,7.790751994
CD68,7.080485833
HLAA,7.830993129
