markers,gate
PDL1,8.364013713
CD3,7.602671482
p53,8.644163656
LaminB1,7.671878769
ER,6.900054981
HER2,6.398594935
PR,9.271019337
panCK,7.485265252
AR,7.313886832
CD163,7.983238553
aSMA,7.13169851
CD45,7.611669944
CD8a,8.034920452
Ki67,6.447305863
PD1,7.262628601
CD4,7.86023904
CD68,6.8786365
HLAA,7.173744788
