markers,gate
PDL1,8.366602833
CD3,7.408993538
p53,8.955580338
LaminB1,8.661227868
ER,8.678076752
HER2,6.042632834
PR,8.84977762
panCK,7.632968664
AR,7.713832091
CD163,8.104875982
aSMA,8.147767719
CD45,7.444047437
CD8a,7.77986447
Ki67,7.117150039
PD1,7.993354132
CD4,8.246831091
CD68,6.563389437
HLAA,7.631202518
