markers,gate
PDL1,8.371220992
CD3,7.359938271
p53,8.46316937
LaminB1,8.27814157
ER,7.729444416
HER2,6.856972254
PR,8.126802033
panCK,7.630208891
AR,7.42502857
CD163,7.857012782
aSMA,6.11146734
CD45,7.451700685
CD8a,8.108893943
Ki67,6.823225588
PD1,7.639906966
CD4,7.943548791
CD68,7.082242051
HLAA,8.814795437
