markers,gate
PDL1,8.710872274
CD3,7.50670816
p53,8.879810716
LaminB1,8.157746043
ER,8.626396708
HER2,8.691391798
PR,8.515863907
panCK,7.760008745
AR,7.695146134
CD163,8.307452735
aSMA,7.106330024
CD45,7.253965374
CD8a,10.02974542
Ki67,7.165985482
PD1,8.467220176
CD4,8.953552487
CD68,9.429564895
HLAA,7.454249491
