markers,gate
PDL1,8.061723859
CD3,7.386446504
p53,8.238891433
LaminB1,7.454323252
ER,8.3260013
HER2,6.065007481
PR,9.013559973
panCK,7.25355009
AR,8.372405448
CD163,7.638818177
aSMA,6.215599206
CD45,7.679067081
CD8a,7.779136124
Ki67,6.551545492
PD1,7.373032049
CD4,8.585938861
CD68,8.266228425
HLAA,8.706283774
