markers,gate
PDL1,8.364249746
CD3,7.601402335
p53,8.998500875
LaminB1,8.247032306
ER,8.701368536
HER2,6.794063616
PR,8.648096975
panCK,7.283635554
AR,7.069874128
CD163,7.792326297
aSMA,6.398594935
CD45,7.190229487
CD8a,7.882692206
Ki67,6.398594935
PD1,7.789442068
CD4,8.02145598
CD68,6.683356274
HLAA,6.882327258
