markers,gate
PDL1,9.742120669
CD3,7.792316069
p53,8.822116431
LaminB1,8.77971129
ER,8.230663617
HER2,8.376761217
PR,9.536885524
panCK,7.266905358
AR,8.12229551
CD163,8.802388169
aSMA,7.751778458
CD45,8.78692304
CD8a,8.472223522
Ki67,7.028717447
PD1,7.881354323
CD4,8.735632597
CD68,8.411363326
HLAA,9.016745798
