markers,gate
PDL1,8.60896107
CD3,7.689767799
p53,9.015270718
LaminB1,8.407976373
ER,7.659707206
HER2,6.558248062
PR,8.441343083
panCK,6.745723153
AR,8.021639727
CD163,7.869390501
aSMA,6.338346311
CD45,7.722956568
CD8a,8.076091569
Ki67,6.898866837
PD1,7.790263875
CD4,8.337859837
CD68,7.448507035
HLAA,8.303962698
